Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
14:18:37,866,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,16,0,-18,2.56,16,0,14,64,10,145,146,67,105,5,50,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:38,877,185,78,86,86,30,14,0.06,0,32,1,8,0,12,140,0,4,0,-18,2.608,16,0,14,64,10,145,146,67,129,5,50,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:39,880,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,4,0,-18,2.56,16,0,14,64,10,145,146,67,13,5,52,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:40,869,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,28,0,-17.75,2.56,16,0,14,64,10,145,146,67,74,5,49,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:41,878,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,32,0,-18.75,2.608,16,0,14,64,10,145,146,67,167,5,49,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:42,855,185,78,86,86,31,14,0.06,0,32,1,8,0,12,140,0,32,0,-19,2.51,16,0,14,64,10,145,146,67,12,6,49,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:43,869,185,78,86,86,33,14,0.06,0,32,1,8,0,12,140,0,20,0,-18.25,2.56,16,0,14,64,10,145,146,67,15,6,45,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:44,874,185,78,86,86,31,14,0.06,0,32,1,8,0,12,140,0,8,0,-18,2.51,16,0,14,64,10,145,146,67,140,7,42,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:45,875,185,78,86,86,30,14,0.06,0,32,1,8,0,12,140,0,16,0,-18.25,2.56,16,0,14,64,10,145,146,67,162,13,61,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:46,867,185,78,86,86,33,14,0.06,0,32,1,8,0,12,140,0,4,0,-17.75,2.56,16,0,14,64,10,145,146,67,12,13,65,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:47,861,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,36,0,-19,2.56,16,0,14,64,10,145,146,67,135,11,58,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:48,881,185,78,86,86,31,14,0.06,0,32,1,8,0,12,140,0,8,0,-18.25,2.56,16,0,14,64,10,145,146,67,151,11,58,1,1,129,105,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
14:18:49,855,185,78,86,86,32,14,0.06,0,32,1,8,0,12,140,0,12,0,-18,2.56,16,0,14,64,10,145,146,67,37,12,64,1,1,129,106,0,190,104,108,240,149,4,0,83,190,104,0,83,190,104,37,83,190,104
