date;time;80x01-02_engine-rpm;80x03_coolant_temp;80x04_ambient_temp;80x05_intake_air_temp;80x06_fuel_temp;80x07_map_kpa;80x08_battery_voltage;80x09_throttle_pot;80x0A_idle_switch;80x0B_aircon;80x0C_park_neutral_switch;80x0F_idle_set_point;80x10_idle_hot;80x12_iac_position;80x13-14_idle_error;80x15_ignition_advance_offset;80x16_ignition_advance;80x17-18_coil_time;80x19_crankshaft_position_sensor;coolant_sensor_fault;air_intake_sensor_fault;fuel_pump_circuit_fault;throttle_pot_fault;0x80_raw;7dx01_ignition_switch;7dx02_throttle_angle;7dx04_air_fuel_ratio;7dx06_lambda_voltage;7dx07_lambda_sensor_frequency;7dx08_lambda_sensor_dutycycle;7dx09_lambda_sensor_status;7dx0A_closed_loop;7dx0B_long_term_fuel_trim;7dx0C_short_term_fuel_trim;7dx0D_carbon_canister_dutycycle;7dx0F_idle_base_pos;7dx12_ignition_advance2;7dx13_idle_speed_offset;7dx1F_jack_count;0x7d_raw
10.12.2023 00:00;19:39:30;1078;56;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C04366F444455248E030020082080002B886E0010004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:30;1088;56;13;13;30;34;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C04406F444455228E030020082080002B886E0010004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:32;1081;56;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;14;Apr 48;16;false;false;false;false;801C04396F444455248E030020082080002B886E0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:34.024;1071;57;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042F70444455238E030020082080002B886E0008004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:35;1058;57;13;13;30;37;14. Feb;0.06;0;true;true;0;43;110;128;0;13. Mai;Apr 48;16;false;false;false;false;801C042270444455258E030020082080002B886E0008004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:36.022;1085;57;13;13;30;37;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C043D70444455258E030020082080002B886E000C004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:37;1075;57;13;13;30;34;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043370444455228E030020082080002B886E000C004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:39;1089;57;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C044170444455248E030020082080002B886E0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:40;1091;57;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C044370444455238E030020082080002B886E000C004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:41;1098;57;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C044A70444455238E030020082080002B886E0008004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:42;1073;57;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;14;Apr 48;16;false;false;false;false;801C043170444455248E030020082080002B886E0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:44;1078;57;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;14;Apr 48;16;false;false;false;false;801C043670444455238E030020082080002B886E0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:46.026;1069;58;13;13;30;37;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042D71444455258E030020082080002B886E0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:46;1077;58;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043571444455238E030020082080002B886E0000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:48.040;1072;58;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;14;Apr 48;16;false;false;false;false;801C043071444455238E030020082080002B886E0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:49;1091;58;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C044371444455248E030020082080002B886E0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:51;1075;59;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;13. Mai;Apr 48;16;false;false;false;false;801C043372444455248E030020082080002B886E0000004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:51;1085;59;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C043D72444455238E030020082080002B886E0010004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:53;1085;59;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C043D72444455248E030020082080002B886E0008004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:54;1078;59;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;14;Apr 48;16;false;false;false;false;801C043672444455248E030020082080002B886E0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:56;1052;59;13;13;30;35;14. Feb;0.06;0;true;true;0;43;109;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041C72444455238E030020082080002B886D0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:56;1070;59;13;13;30;35;14. Feb;0.06;0;true;true;0;43;109;128;0;13. Mai;Apr 48;16;false;false;false;false;801C042E72444455238E030020082080002B886D0000004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:58;1046;59;14;13;30;35;14. Feb;0.06;0;true;true;0;43;109;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041672454455238E030020082080002B886D0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:00.026;1064;60;14;13;30;36;14. Feb;0.06;0;true;true;0;43;109;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042873454455248E030020082080002B886D0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:01;1058;60;14;13;30;35;14. Feb;0.06;0;true;true;0;43;109;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042273454455238E030020082080002B886D000C004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:02.024;1068;60;14;13;30;37;14. Feb;0.06;0;true;true;0;43;109;128;0;13. Mai;Apr 48;16;false;false;false;false;801C042C73454455258E030020082080002B886D0004004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:03;1052;60;14;13;30;35;14. Feb;0.06;0;true;true;0;43;108;128;0;13. Mai;Apr 48;16;false;false;false;false;801C041C73454455238E030020082080002B886C0004004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:05;1060;61;14;13;30;35;14. Feb;0.06;0;true;true;0;43;108;128;0;12;Apr 48;16;false;false;false;false;801C042474454455238E030020082080002B886C000C004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:06;1061;61;14;13;30;36;14. Feb;0.06;0;true;true;0;43;108;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042574454455248E030020082080002B886C0008004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:07;1056;61;14;13;30;35;14. Feb;0.06;0;true;true;0;43;108;128;0;12;Apr 48;16;false;false;false;false;801C042074454455238E030020082080002B886C0010004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:08;1050;61;14;13;30;35;14. Feb;0.06;0;true;true;0;43;108;128;0;12. Mai;Apr 48;16;false;false;false;false;801C041A74454455238E030020082080002B886C000C004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:10;1065;61;14;13;30;35;14. Feb;0.06;0;true;true;0;43;108;128;0;11;Apr 48;16;false;false;false;false;801C042974454455238E030020082080002B886C0018004608C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:12.013;1036;61;14;13;30;36;14. Feb;0.06;0;true;true;0;43;108;128;0;12. Mai;Apr 48;16;false;false;false;false;801C040C74454455248E030020082080002B886C0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:40:12;1062;61;14;13;30;35;14. Feb;0.06;0;true;true;0;43;108;128;0;13. Mai;Apr 48;16;false;false;false;false;801C042674454455238E030020082080002B886C0004004B08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:40:14.011;1066;61;14;13;30;36;14. Feb;0.06;0;true;true;0;43;108;128;0;12;Apr 48;16;false;false;false;false;801C042A74454455248E030020082080002B886C0010004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
